wavelength,ex,em
364,0.0203,
365,0.0193,
366,0.0193,
367,0.0203,
368,0.0203,
369,0.0203,
370,0.0203,
371,0.0203,
372,0.0213,
373,0.0213,
374,0.0223,
375,0.0223,
376,0.0233,
377,0.0233,
378,0.0243,
379,0.0253,
380,0.0253,
381,0.0263,
382,0.0273,
383,0.0283,
384,0.0293,
385,0.0304,
386,0.0314,
387,0.0334,
388,0.0344,
389,0.0354,
390,0.0374,
391,0.0384,
392,0.0404,
393,0.0414,
394,0.0434,
395,0.0455,
396,0.0465,
397,0.0485,
398,0.0505,
399,0.0525,
400,0.0545,
401,0.0575,
402,0.0596,
403,0.0616,
404,0.0636,
405,0.0666,
406,0.0686,
407,0.0716,
408,0.0746,
409,0.0777,
410,0.0807,
411,0.0837,
412,0.0867,
413,0.0897,
414,0.0928,
415,0.0958,
416,0.0998,
417,0.1028,
418,0.1068,
419,0.1109,
420,0.1149,
421,0.1199,
422,0.125,
423,0.13,
424,0.136,
425,0.141,
426,0.1461,
427,0.1521,
428,0.1571,
429,0.1632,
430,0.1682,
431,0.1742,
432,0.1793,
433,0.1853,
434,0.1913,
435,0.1964,
436,0.2024,
437,0.2084,
438,0.2145,
439,0.2205,
440,0.2265,
441,0.2326,
442,0.2386,
443,0.2457,
444,0.2517,
445,0.2597,
446,0.2668,
447,0.2748,
448,0.2819,
449,0.2899,
450,0.298,
451,0.306,
452,0.3141,
453,0.3221,
454,0.3301,
455,0.3382,
456,0.3472,
457,0.3533,
458,0.3613,
459,0.3704,
460,0.3794,
461,0.3875,
462,0.3945,
463,0.4005,
464,0.4046,
465,0.4076,
466,0.4106,
467,0.4116,
468,0.4126,
469,0.4126,
470,0.4126,
471,0.4116,
472,0.4106,
473,0.4076,
474,0.4046,
475,0.4006,
476,0.3955,
477,0.3905,
478,0.3865,
479,0.3855,
480,0.3875,
481,0.3905,
482,0.3956,
483,0.4026,
484,0.4107,
485,0.4237,
486,0.4378,
487,0.4519,
488,0.467,
489,0.481,
490,0.4941,
491,0.5082,
492,0.5223,
493,0.5354,
494,0.5494,
495,0.5625,
496,0.5756,
497,0.5887,
498,0.6007,
499,0.6138,
500,0.6259,
501,0.6339,
502,0.644,
503,0.651,
504,0.658,
505,0.6641,
506,0.6691,
507,0.6731,
508,0.6762,
509,0.6792,
510,0.6812,
511,0.6832,
512,0.6852,
513,0.6862,
514,0.6862,
515,0.6862,
516,0.6862,
517,0.6862,
518,0.6862,
519,0.6852,
520,0.6892,
521,0.6973,
522,0.7114,
523,0.7315,0.0533
524,0.7486,0.0553
525,0.7657,0.0573
526,0.7828,0.0613
527,0.7989,0.0653
528,0.815,0.0714
529,0.831,0.0774
530,0.8471,0.0844
531,0.8622,0.0915
532,0.8773,0.1005
533,0.8924,0.1095
534,0.9075,0.1196
535,0.9226,0.1296
536,0.9356,0.1417
537,0.9507,0.1538
538,0.9648,0.1668
539,0.9759,0.1809
540,0.9859,0.196
541,0.9919,0.2111
542,0.997,0.2271
543,0.999,0.2442
544,1.0,0.2623
545,1.0,0.2814
546,0.999,0.3015
547,0.997,0.3226
548,0.993,0.3447
549,0.9869,0.3678
550,0.9769,0.399
551,0.9628,0.4442
552,0.9447,0.4884
553,0.9226,0.5317
554,0.8944,0.5739
555,0.8582,0.6161
556,0.815,0.6563
557,0.7728,0.6965
558,0.7306,0.7347
559,0.6381,0.7729
560,0.6451,0.809
561,0.6079,0.8442
562,0.5687,0.8704
563,0.5305,0.9005
564,0.4933,0.9266
565,0.4571,0.9477
566,0.4239,0.9638
567,0.3927,0.9769
568,0.3384,0.9869
569,0.2952,0.993
570,0.2691,0.997
571,0.2399,0.999
572,0.2138,1.0
573,0.1917,1.0
574,0.1725,0.999
575,0.1545,0.997
576,0.1394,0.994
577,0.1243,0.9879
578,0.1122,0.9799
579,0.1002,0.9698
580,0.0901,0.9568
581,0.0801,0.9417
582,,0.9236
583,,0.9025
584,,0.8824
585,,0.8643
586,,0.8472
587,,0.8302
588,,0.8131
589,,0.797
590,,0.7809
591,,0.7648
592,,0.7487
593,,0.7327
594,,0.7176
595,,0.7025
596,,0.6874
597,,0.6724
598,,0.6583
599,,0.6442
600,,0.6291
601,,0.6191
602,,0.605
603,,0.592
604,,0.5779
605,,0.5648
606,,0.5518
607,,0.5387
608,,0.5256
609,,0.5136
610,,0.5015
611,,0.4894
612,,0.4774
613,,0.4653
614,,0.4533
615,,0.4422
616,,0.4312
617,,0.4201
618,,0.409
619,,0.399
620,,0.3889
621,,0.3789
622,,0.3688
623,,0.3598
624,,0.3497
625,,0.3407
626,,0.3317
627,,0.3216
628,,0.3126
629,,0.3045
630,,0.2955
631,,0.2864
632,,0.2774
633,,0.2693
634,,0.2603
635,,0.2523
636,,0.2442
637,,0.2362
638,,0.2281
639,,0.2221
640,,0.2151
641,,0.207
642,,0.2
643,,0.193
644,,0.1859
645,,0.1789
646,,0.1719
647,,0.1658
648,,0.1588
649,,0.1528
650,,0.1477
651,,0.1417
652,,0.1367
653,,0.1307
654,,0.1256
655,,0.1206
656,,0.1156
657,,0.1116
658,,0.1075
659,,0.1035
660,,0.0995
661,,0.0965
662,,0.0935
663,,0.0905
664,,0.0874
665,,0.0844
666,,0.0814
667,,0.0784
668,,0.0764
669,,0.0734
670,,0.0714
671,,0.0693
672,,0.0673
673,,0.0643
674,,0.0623
675,,0.0603
676,,0.0593
677,,0.0573
678,,0.0553
679,,0.0543
680,,0.0523
681,,0.0503
682,,0.0492
683,,0.0472
684,,0.0462
685,,0.0442
686,,0.0432
687,,0.0422
688,,0.0402
689,,0.0392
690,,0.0382
691,,0.0372
692,,0.0362
693,,0.0342
694,,0.0332
695,,0.0322
696,,0.0312
697,,0.0302
698,,0.0291
699,,0.0291
700,,0.0281
701,,0.0271
702,,0.0261
703,,0.0251
704,,0.0241
705,,0.0241
706,,0.0231
707,,0.0221
708,,0.0221
709,,0.0211
710,,0.0201
711,,0.0201
712,,0.0191
713,,0.0191
714,,0.0181
715,,0.0181
716,,0.0171
717,,0.0171
718,,0.0161
719,,0.0161
720,,0.0151
721,,0.0151
722,,0.0151
723,,0.0141
724,,0.0141
725,,0.0141
726,,0.0131
727,,0.0131
728,,0.0131
729,,0.0121
730,,0.0121
731,,0.0121
732,,0.0121
733,,0.0121
734,,0.0121
735,,0.0111
736,,0.0111
737,,0.0111
738,,0.0111
739,,0.0111
740,,0.0111
741,,0.0111
742,,0.0111
743,,0.0111
744,,0.0111
745,,0.0111
746,,0.0111
747,,0.0111
748,,0.0121
749,,0.0121
750,,0.0121
